Nom_arrond,Invent,no_civiq,Rue,Rue_De,Rue_A,Nom_parc,Sigle,Injections,x,y,longitude,latitude
Ahuntsic-Cartierville,R,9805,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292946.888,5046548.5,-73.65182879,45.55874714
Ahuntsic-Cartierville,R,9825,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292923.836,5046556.5,-73.65212426,45.55881873
Ahuntsic-Cartierville,R,9810,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292944.121,5046531.5,-73.65186383,45.55859412
Ahuntsic-Cartierville,R,10432,"Lille, rue de","Fleury Est, rue","Prieur Est, rue",,FRPE,2016,293044.306,5048354.5,-73.65062438,45.57499972
Ahuntsic-Cartierville,R,1170,"Louvain Est, rue de","Christophe-Colomb, avenue","De Bretonvilliers, avenue",,FRPE,2016,293425.855,5046560.5,-73.64569391,45.55886311
Ahuntsic-Cartierville,R,10360,"Papineau, avenue","Fleury Est, rue","Prieur Est, rue",,FRPE,2016,292753.585,5047616.394,-73.65433115,45.56835306
Ahuntsic-Cartierville,R,10330,"D'Iberville, rue","Fleury Est, rue","Prieur Est, rue",,FRPE,2016,293238,5048431.5,-73.64814443,45.57569583
Ahuntsic-Cartierville,R,10115,"Fabre, rue","Sauriol Est, rue","Fleury Est, rue",,FRPE,2016,292969.342,5047326.5,-73.65156,45.5657482
Ahuntsic-Cartierville,R,9222,"Joseph-Mélançon, avenue","Joseph-Mélançon, avenue","Joseph-Mélançon, avenue",,FRAM,2016,293512.156,5046045.5,-73.64457658,45.55423038
Ahuntsic-Cartierville,R,1750,"Sauriol Est, rue","Garnier, rue","Fabre, rue",,FRPE,2016,292996.1076,5047285.056,-73.65121611,45.56537574
Ahuntsic-Cartierville,R,9182,"Joseph-Mélançon, avenue","Joseph-Mélançon, avenue","Joseph-Mélançon, avenue",,FRAM,2016,293567.5,5046036.5,-73.64386753,45.55415029
Ahuntsic-Cartierville,R,1444,"Louvain Est, rue de","Antoine-Déat, rue","Papineau, avenue / Voie latérale Ouest",,FRPE,2016,293628.861,5046973.5,-73.64310301,45.5625827
Ahuntsic-Cartierville,R,1621,"François-H.-Prévost, rue","Ernest-Savignac, rue","Aurèle-Allard, rue",,FRAMAP,2016,294668.75,5046282.5,-73.62976768,45.55638077
Ahuntsic-Cartierville,R,8521,"Pierre-Dupaigne, rue","Jacques-Casault, rue","Pierre-Dupaigne, place",,FRPE,2016,294739.063,5045912,-73.62885945,45.55304791
Ahuntsic-Cartierville,R,10265,"Olympia, boulevard","Sauriol Est, rue","Fleury Est, rue",,FRPE,2016,292591.125,5046888,-73.65639429,45.56179592
Ahuntsic-Cartierville,R,10371,"Lille, rue de","Fleury Est, rue","Prieur Est, rue",,FRPE,2016,293119.91,5048331,-73.64965512,45.57478953
Ahuntsic-Cartierville,R,10265,"Olympia, boulevard","Sauriol Est, rue","Fleury Est, rue",,FRPE,2016,292602.493,5046883.651,-73.65624856,45.56175698
Ahuntsic-Cartierville,R,10530,"Vianney, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,293138.553,5048798,-73.64942739,45.57899204
Ahuntsic-Cartierville,R,10560,"Vianney, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,293110.192,5048813.5,-73.64979117,45.57913104
Ahuntsic-Cartierville,R,10574,"Vianney, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,293091.549,5048825.085,-73.65003034,45.57923497
Ahuntsic-Cartierville,R,0,"Vianney, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,293138.623,5048817.078,-73.64942695,45.57916371
Ahuntsic-Cartierville,R,0,"Vianney, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,293115.272,5048830.704,-73.64972649,45.57928593
Ahuntsic-Cartierville,R,0,"Vianney, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,293054.984,5048866.427,-73.65049987,45.57960636
Ahuntsic-Cartierville,R,0,"Vianney, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,293092.815,5048844.014,-73.65001457,45.57940532
Ahuntsic-Cartierville,R,0,"Vianney, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,293108.271,5048835.029,-73.6498163,45.57932473
Ahuntsic-Cartierville,R,0,"Vianney, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,293154.186,5048807.821,-73.64922731,45.57908068
Ahuntsic-Cartierville,R,0,"Vianney, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,293183.964,5048790.595,-73.64884533,45.57892617
Ahuntsic-Cartierville,R,10455,"Taché, rue","Taché, place","Prieur Est, rue",,FRPE,2016,292502.287,5047315,-73.65754303,45.56563663
Ahuntsic-Cartierville,R,10355,"Taché, rue","Taché, place","Taché, place",,FRPE,2016,292591.9871,5047262.628,-73.6563926,45.56516695
Ahuntsic-Cartierville,R,10415,"Taché, rue","Taché, place","Taché, place",,FRPE,2016,292536.754,5047294,-73.65710096,45.56544827
Ahuntsic-Cartierville,R,0,"Taché, rue","Taché, place","Prieur Est, rue",,FRPE,2016,292466.214,5047317,-73.6580052,45.56565399
Ahuntsic-Cartierville,R,0,"Saint-Hubert, rue","Gouin Est, boulevard","Park Stanley, avenue",,FRAMAP,2016,291659.539,5046553.5,-73.66831876,45.55876903
Ahuntsic-Cartierville,R,10520,"Saint-Hubert, rue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,291883.812,5046442.5,-73.66544308,45.55777441
Ahuntsic-Cartierville,R,10520,"Saint-Hubert, rue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,291881.111,5046442,-73.66547767,45.55776986
Ahuntsic-Cartierville,R,10520,"Saint-Hubert, rue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,291872.92,5046446,-73.66558269,45.5578057
Ahuntsic-Cartierville,R,10520,"Saint-Hubert, rue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,291874.945,5046445,-73.66555673,45.55779674
Ahuntsic-Cartierville,R,10520,"Saint-Hubert, rue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,2016,291869.635,5046448,-73.66562482,45.55782364
Ahuntsic-Cartierville,R,10587,"Saint-Hubert, rue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPEPA,2016,291937.322,5046437.5,-73.66475755,45.55773041
Ahuntsic-Cartierville,R,10381,"Saint-Hubert, rue","Fleury Est, rue","Prieur Est, rue",,FRAM,2016,292188.953,5046331.5,-73.6615317,45.55678119
Ahuntsic-Cartierville,R,4030,"Plouffe, rue","Luc-Rochefort, rue","Jean-Massé, rue",,FRPESU,2016,289132.065,5043796.373,-73.70060523,45.53390726
Ahuntsic-Cartierville,R,9929,"Saint-Hubert, rue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292622.555,5046150,-73.6559733,45.55515572
Ahuntsic-Cartierville,R,9705,"Saint-Hubert, rue",Viaduc,"Sauvé Est, rue",,FRPE,2016,292890.264,5046039.5,-73.65254171,45.55416603
Ahuntsic-Cartierville,R,9831,"Saint-Hubert, rue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,2016,292721.398,5046110.5,-73.65470631,45.554802
Ahuntsic-Cartierville,R,8988,"Saint-Hubert, rue","Émile-Journault, avenue","Legendre Est, rue",,FRPESU,2016,293730.094,5045677,-73.64177687,45.550918
Ahuntsic-Cartierville,R,8996,"Saint-Hubert, rue","Émile-Journault, avenue","Legendre Est, rue",,FRPESU,2016,293724.156,5045679.5,-73.64185298,45.5509404
